id,consumercode,businessservice,taxperiodfrom,taxperiodto,status,demandid,taxheadcode,taxamount,collectionamount
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_OWNER_EXEMPTION,0.0,0.0
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_UNIT_USAGE_EXEMPTION,0.0,0.0
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_TIME_PENALTY,121.2,121.2
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_TIME_REBATE,0.0,0.0
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_FIRE_CESS,0.0,0.0
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_CANCER_CESS,12.12,12.12
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_ROUNDOFF,0.2,0.2
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_TAX,606.0,606.0
4f21562b-dead-4330-b02b-2aa80b50d7f5,PT-1014-1010345,PT,1522540800000,1554076799000,ACTIVE,4f21562b-dead-4330-b02b-2aa80b50d7f5,PT_TIME_INTEREST,189.48,189.48
7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT-1014-1010345,PT,1427846400000,1459468799000,ACTIVE,7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT_CANCER_CESS,12.12,12.12
7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT-1014-1010345,PT,1427846400000,1459468799000,ACTIVE,7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT_FIRE_CESS,0.0,0.0
7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT-1014-1010345,PT,1427846400000,1459468799000,ACTIVE,7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT_TAX,606.0,606.0
7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT-1014-1010345,PT,1427846400000,1459468799000,ACTIVE,7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT_TIME_INTEREST,516.72,516.72
7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT-1014-1010345,PT,1427846400000,1459468799000,ACTIVE,7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT_TIME_PENALTY,121.2,121.2
7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT-1014-1010345,PT,1427846400000,1459468799000,ACTIVE,7e3f8d2d-0dd7-4e51-b248-08d962f52e43,PT_TIME_REBATE,0.0,0.0
